Позитивные тесты

№  | a     | b     | c     | Ожидаемый результат | Описание кейса
---|-------|-------|-------|---------------------|--------------------------------
 1 | 5     | 5     | 5     | "equilateral"       | Равносторонний треугольник.
   |       |       |       |                     | Все три стороны равны (целые).
---|-------|-------|-------|---------------------|--------------------------------
 2 | 3.5   | 3.5   | 3.5   | "equilateral"       | Равносторонний треугольник.
   |       |       |       |                     | Все стороны равны (дробные).
---|-------|-------|-------|---------------------|--------------------------------
 3 | 5     | 5     | 3     | "isosceles"         | Равнобедренный: a = b.
---|-------|-------|-------|---------------------|--------------------------------
 4 | 5     | 3     | 5     | "isosceles"         | Равнобедренный: a =c.
---|-------|-------|-------|---------------------|--------------------------------
 5 | 3     | 5     | 5     | "isosceles"         | Равнобедренный: b = c.
---|-------|-------|-------|---------------------|--------------------------------
 6 | 2.5   | 2.5   | 4     | "isosceles"         | Равнобедренный с дробными
   |       |       |       |                     | равными сторонами.
---|-------|-------|-------|---------------------|--------------------------------
 7 | 3     | 4     | 5     | "nonequilateral"    | Разносторонний (классический
   |       |       |       |                     | прямоугольный треугольник).
---|-------|-------|-------|---------------------|--------------------------------
 8 | 7     | 10    | 12    | "nonequilateral"    | Разносторонний, все стороны
   |       |       |       |                     | различны (целые).
---|-------|-------|-------|---------------------|--------------------------------
 9 | 2.1   | 3.2   | 4.3   | "nonequilateral"    | Разносторонний с дробными
   |       |       |       |                     | значениями всех сторон.
---|-------|-------|-------|---------------------|--------------------------------
10 | 0.01  | 0.01  | 0.01  | "equilateral"       | Очень маленькие стороны.
   |       |       |       |                     | Граничный случай: малые числа.
---|-------|-------|-------|---------------------|--------------------------------
11 |100000 |100000 |100000 | "equilateral"       | Очень большие стороны.
   |       |       |       |                     | Граничный случай: большие числа.
---|-------|-------|-------|---------------------|--------------------------------
12 | 1     | 1     | 1.999 | "isosceles"         | Равнобедренный, третья сторона
   |       |       |       |                     | близка к сумме двух других.
   |       |       |       |                     | Граница неравенства.


Негативные

№  | a     | b     | c     | Ожидаемый результат      | Описание кейса
---|-------|-------|-------|--------------------------|---------------------------
13 | 0     | 5     | 5     | IncorrectTriangleSides   | Сторона a равна нулю.
---|-------|-------|-------|--------------------------|---------------------------
14 | 5     | 0     | 5     | IncorrectTriangleSides   | Сторона b равна нулю.
---|-------|-------|-------|--------------------------|---------------------------
15 | 5     | 5     | 0     | IncorrectTriangleSides   | Сторона c равна нулю.
---|-------|-------|-------|--------------------------|---------------------------
16 | 0     | 0     | 0     | IncorrectTriangleSides   | Все стороны равны нулю.
---|-------|-------|-------|--------------------------|---------------------------
17 | -1    | 5     | 5     | IncorrectTriangleSides   | Сторона a отрицательна.
---|-------|-------|-------|--------------------------|---------------------------
18 | 5     | -3    | 5     | IncorrectTriangleSides   | Сторона b отрицательна.
---|-------|-------|-------|--------------------------|---------------------------
19 | 5     | 5     | -2    | IncorrectTriangleSides   | Сторона c отрицательна.
---|-------|-------|-------|--------------------------|---------------------------
20 | -1    | -1    | -1    | IncorrectTriangleSides   | Все стороны отрицательны.
---|-------|-------|-------|--------------------------|---------------------------
21 | 1     | 2     | 3     | IncorrectTriangleSides   | Нарушение неравенства:
   |       |       |       |                          | a + b = c (вырожденный,
   |       |       |       |                          | сумма двух равна третьей).
---|-------|-------|-------|--------------------------|---------------------------
22 | 1     | 2     | 10    | IncorrectTriangleSides   | Нарушение неравенства:
   |       |       |       |                          | a + b < c.
---|-------|-------|-------|--------------------------|---------------------------
23 | 10    | 1     | 2     | IncorrectTriangleSides   | Нарушение неравенства:
   |       |       |       |                          | b + c < a.
---|-------|-------|-------|--------------------------|---------------------------
24 | 1     | 10    | 2     | IncorrectTriangleSides   | Нарушение неравенства:
   |       |       |       |                          | a + c < b.
---|-------|-------|-------|--------------------------|---------------------------
25 | "a"   | 2     | 3     | IncorrectTriangleSides   | Аргумент a — строка.
---|-------|-------|-------|--------------------------|---------------------------
26 | 3     | "b"   | 5     | IncorrectTriangleSides   | Аргумент b — строка.
---|-------|-------|-------|--------------------------|---------------------------
27 | 3     | 4     | "c"   | IncorrectTriangleSides   | Аргумент c — строка.
---|-------|-------|-------|--------------------------|---------------------------
28 | None  | 4     | 5     | IncorrectTriangleSides   | Аргумент a — None.
---|-------|-------|-------|--------------------------|---------------------------
29 | [3]   | 4     | 5     | IncorrectTriangleSides   | Аргумент a — список.
---|-------|-------|-------|--------------------------|---------------------------
30 | True  | 2     | 2     | IncorrectTriangleSides*  | Аргумент a — bool.
