№  | a     | b     | c     | Ожидаемый результат     | Описание кейса
---|-------|-------|-------|-------------------------|------------------------------
1  | 1     | -3    | 2     | [1.0, 2.0]              | Два различных положительных
   |       |       |       |                         | корня (D > 0). Классический
   |       |       |       |                         | случай квадратного уравнения.
---|-------|-------|-------|-------------------------|------------------------------
2  | 1     | 5     | 6     | [-3.0, -2.0]            | Два различных отрицательных
   |       |       |       |                         | корня (D > 0).
---|-------|-------|-------|-------------------------|------------------------------
3  | 1     | -1    | -6    | [-2.0, 3.0]             | Два корня разных знаков
   |       |       |       |                         | (D > 0). Проверка порядка
   |       |       |       |                         | возрастания.
---|-------|-------|-------|-------------------------|------------------------------
4  | 2     | -8    | 8     | [2.0]                   | Дискриминант равен нулю.
   |       |       |       |                         | Один кратный корень.
---|-------|-------|-------|-------------------------|------------------------------
5  | 1     | 0     | 4     | "Нет действительных     | Дискриминант отрицателен.
   |       |       |       |  корней"                | Действительных корней нет.
---|-------|-------|-------|-------------------------|------------------------------
6  | 0     | 3     | -9    | [3.0]                   | Линейное уравнение (a = 0).
   |       |       |       |                         | Вырожденный случай: bx+c=0.
---|-------|-------|-------|-------------------------|------------------------------
7  | 0     | 0     | 5     | "Нет решений"           | a = 0, b = 0, c ≠ 0.
   |       |       |       |                         | Уравнение вида 5 = 0 —
   |       |       |       |                         | противоречие.
---|-------|-------|-------|-------------------------|------------------------------
8  | 0     | 0     | 0     | "Бесконечное множество  | Все коэффициенты равны нулю.
   |       |       |       |  решений"               | Тождество 0 = 0.
---|-------|-------|-------|-------------------------|------------------------------
9  | 1     | 0     | -9    | [-3.0, 3.0]             | Коэффициент b = 0.
   |       |       |       |                         | Два симметричных корня
   |       |       |       |                         | относительно нуля.
---|-------|-------|-------|-------------------------|------------------------------
10 | 1     | -6    | 0     | [0.0, 6.0]              | Коэффициент c = 0.
   |       |       |       |                         | Один из корней равен нулю.
---|-------|-------|-------|-------------------------|------------------------------
11 | 1     | 0     | 0     | [0.0]                   | b = 0 и c = 0 одновременно.
   |       |       |       |                         | Кратный корень x = 0.
---|-------|-------|-------|-------------------------|------------------------------
12 | -1    | 0     | 1     | [-1.0, 1.0]             | Отрицательный старший
   |       |       |       |                         | коэффициент (a < 0).
   |       |       |       |                         | Проверка корректности при
   |       |       |       |                         | отрицательном a.
---|-------|-------|-------|-------------------------|------------------------------
13 | 0.5   | -1.5  | 1     | [1.0, 2.0]              | Дробные (вещественные)
   |       |       |       |                         | коэффициенты. Проверка
   |       |       |       |                         | работы с числами float.
---|-------|-------|-------|-------------------------|------------------------------
